Date,Gaussian_VaR,Gaussian_ES,Gaussian_wSPX,Gaussian_wDAX,Gaussian_volSPX,Gaussian_volDAX,StudentT_VaR,StudentT_ES,StudentT_wSPX,StudentT_wDAX,StudentT_volSPX,StudentT_volDAX,Clayton_VaR,Clayton_ES,Clayton_wSPX,Clayton_wDAX,Clayton_volSPX,Clayton_volDAX,Gumbel_VaR,Gumbel_ES,Gumbel_wSPX,Gumbel_wDAX,Gumbel_volSPX,Gumbel_volDAX
2020-04-08,-8.223770,-9.770345,0.674462,0.325538,1.919061,2.200517,-8.648607,-10.430038,0.700000,0.300000,1.919061,2.200517,-8.855583,-10.755247,0.668171,0.331829,1.919061,2.200517,-6.987345,-8.256863,0.659312,0.340688,1.919061,2.200517
2020-04-09,-6.932862,-8.372778,0.675996,0.324004,1.668643,1.915778,-7.507919,-9.012952,0.700000,0.300000,1.668643,1.915778,-7.877256,-9.504089,0.669652,0.330348,1.668643,1.915778,-6.193724,-7.222127,0.660719,0.339281,1.668643,1.915778
2020-04-14,-6.350249,-7.580366,0.700000,0.300000,1.455023,1.798266,-6.650678,-8.131449,0.700000,0.300000,1.455023,1.798266,-6.760640,-8.320506,0.700000,0.300000,1.455023,1.798266,-5.523964,-6.560846,0.700000,0.300000,1.455023,1.798266
2020-04-15,-5.529813,-6.619827,0.700000,0.300000,1.270411,1.608837,-5.883307,-7.152337,0.700000,0.300000,1.270411,1.608837,-5.999422,-7.299157,0.700000,0.300000,1.270411,1.608837,-4.785800,-5.695676,0.700000,0.300000,1.270411,1.608837
2020-04-16,-6.680350,-7.959608,0.700000,0.300000,1.562200,1.898859,-7.255463,-8.779754,0.700000,0.300000,1.562200,1.898859,-7.211903,-8.753810,0.700000,0.300000,1.562200,1.898859,-5.909646,-7.134849,0.700000,0.300000,1.562200,1.898859
2020-04-17,-5.871982,-7.054187,0.700000,0.300000,1.364288,1.654814,-6.341603,-7.615980,0.700000,0.300000,1.364288,1.654814,-6.321911,-7.776191,0.700000,0.300000,1.364288,1.654814,-5.142129,-6.174882,0.700000,0.300000,1.364288,1.654814
2020-04-20,-5.408089,-6.512069,0.700000,0.300000,1.190962,1.727400,-5.734827,-7.041530,0.700000,0.300000,1.190962,1.727400,-6.010091,-7.199772,0.700000,0.300000,1.190962,1.727400,-4.611793,-5.438929,0.700000,0.300000,1.190962,1.727400
2020-04-21,-5.649097,-6.839685,0.643506,0.356494,1.351857,1.511761,-5.999999,-7.259643,0.700000,0.300000,1.351857,1.511761,-6.108589,-7.464927,0.638292,0.361708,1.351857,1.511761,-4.853184,-5.703695,0.630954,0.369046,1.351857,1.511761
2020-04-22,-7.642991,-9.293216,0.372019,0.627981,2.053615,1.859285,-8.077292,-9.790496,0.300000,0.700000,2.053615,1.859285,-8.412927,-10.218452,0.376684,0.623316,2.053615,1.859285,-6.498909,-7.614787,0.383248,0.616752,2.053615,1.859285
2020-04-23,-6.751063,-8.085009,0.427508,0.572492,1.785203,1.688180,-7.329534,-8.976023,0.353349,0.646651,1.785203,1.688180,-7.255183,-8.976381,0.430173,0.569827,1.785203,1.688180,-5.753966,-6.738456,0.433920,0.566080,1.785203,1.688180
2020-04-24,-5.994697,-7.251557,0.450563,0.549437,1.555470,1.497416,-6.463691,-7.718826,0.399766,0.600234,1.555470,1.497416,-6.546772,-7.843102,0.452384,0.547616,1.555470,1.497416,-4.992588,-5.896691,0.454944,0.545056,1.555470,1.497416
2020-04-27,-5.553022,-6.794826,0.563792,0.436208,1.356759,1.425089,-5.873311,-7.034630,0.629172,0.370828,1.356759,1.425089,-5.980284,-7.313128,0.561444,0.438556,1.356759,1.425089,-4.647873,-5.392205,0.558145,0.441855,1.356759,1.425089
2020-04-28,-5.201605,-6.245844,0.700000,0.300000,1.185842,1.563385,-5.580990,-6.699768,0.700000,0.300000,1.185842,1.563385,-5.622412,-6.873565,0.700000,0.300000,1.185842,1.563385,-4.536649,-5.427255,0.700000,0.300000,1.185842,1.563385
2020-04-29,-4.709831,-5.685291,0.700000,0.300000,1.070184,1.414991,-5.033311,-6.035842,0.700000,0.300000,1.070184,1.414991,-5.100810,-6.287886,0.700000,0.300000,1.070184,1.414991,-4.192880,-4.954078,0.700000,0.300000,1.070184,1.414991
2020-04-30,-4.468221,-5.423381,0.700000,0.300000,0.938324,1.512597,-4.719132,-5.707361,0.700000,0.300000,0.938324,1.512597,-4.778870,-5.884325,0.700000,0.300000,0.938324,1.512597,-3.769555,-4.410407,0.700000,0.300000,0.938324,1.512597
2020-05-04,-4.398386,-5.341239,0.700000,0.300000,0.925243,1.510758,-4.642941,-5.562281,0.700000,0.300000,0.925243,1.510758,-4.885209,-5.975232,0.700000,0.300000,0.925243,1.510758,-3.749546,-4.385207,0.700000,0.300000,0.925243,1.510758
2020-05-05,-6.730006,-8.053114,0.689688,0.310312,1.530845,1.777508,-6.834340,-8.318538,0.700000,0.300000,1.530845,1.777508,-7.058096,-8.496620,0.682878,0.317122,1.530845,1.777508,-5.517481,-6.510852,0.673284,0.326716,1.530845,1.777508
2020-05-06,-5.803157,-7.025803,0.700000,0.300000,1.335239,1.721756,-6.189299,-7.435811,0.700000,0.300000,1.335239,1.721756,-6.306934,-7.659087,0.700000,0.300000,1.335239,1.721756,-5.120536,-6.111234,0.700000,0.300000,1.335239,1.721756
2020-05-07,-5.403817,-6.456236,0.700000,0.300000,1.220973,1.550756,-5.619885,-6.741931,0.700000,0.300000,1.220973,1.550756,-5.785813,-6.987482,0.700000,0.300000,1.220973,1.550756,-4.678929,-5.460853,0.700000,0.300000,1.220973,1.550756
2020-05-08,-4.646113,-5.578169,0.700000,0.300000,1.069338,1.418649,-4.916256,-5.870374,0.700000,0.300000,1.069338,1.418649,-5.151327,-6.200230,0.700000,0.300000,1.069338,1.418649,-4.118868,-4.835823,0.700000,0.300000,1.069338,1.418649
2020-05-11,-4.212565,-5.100877,0.700000,0.300000,0.939020,1.301914,-4.387404,-5.441275,0.700000,0.300000,0.939020,1.301914,-4.562101,-5.620796,0.700000,0.300000,0.939020,1.301914,-3.545995,-4.192586,0.700000,0.300000,0.939020,1.301914
2020-05-12,-3.765229,-4.594283,0.700000,0.300000,0.829829,1.169609,-3.981153,-4.772546,0.700000,0.300000,0.829829,1.169609,-4.048500,-4.857055,0.700000,0.300000,0.829829,1.169609,-3.266151,-3.915135,0.700000,0.300000,0.829829,1.169609
2020-05-13,-4.397460,-5.244574,0.300000,0.700000,1.309362,1.029417,-4.659089,-5.596513,0.300000,0.700000,1.309362,1.029417,-4.780913,-5.786072,0.300000,0.700000,1.309362,1.029417,-3.812969,-4.489188,0.300000,0.700000,1.309362,1.029417
2020-05-14,-5.241828,-6.289858,0.300000,0.700000,1.520501,1.238955,-5.533389,-6.682995,0.300000,0.700000,1.520501,1.238955,-5.658190,-6.962706,0.300000,0.700000,1.520501,1.238955,-4.528126,-5.398233,0.300000,0.700000,1.520501,1.238955
2020-05-15,-4.965936,-5.966608,0.438432,0.561568,1.325874,1.264476,-5.420014,-6.629831,0.375302,0.624698,1.325874,1.264476,-5.619142,-6.797153,0.440697,0.559303,1.325874,1.264476,-4.272842,-5.022960,0.443882,0.556118,1.325874,1.264476
2020-05-18,-4.534788,-5.494530,0.507905,0.492095,1.158841,1.165900,-4.831702,-5.795802,0.516058,0.483942,1.158841,1.165900,-5.043785,-6.075871,0.507613,0.492387,1.158841,1.165900,-3.767344,-4.457857,0.507203,0.492797,1.158841,1.165900
2020-05-19,-5.178210,-6.216744,0.700000,0.300000,1.015717,1.985991,-5.444711,-6.604315,0.700000,0.300000,1.015717,1.985991,-5.667133,-6.879336,0.700000,0.300000,1.015717,1.985991,-4.343315,-5.146450,0.700000,0.300000,1.015717,1.985991
2020-05-20,-4.811790,-5.830323,0.700000,0.300000,1.004197,1.726699,-5.174420,-6.199042,0.700000,0.300000,1.004197,1.726699,-5.230199,-6.369627,0.700000,0.300000,1.004197,1.726699,-4.090548,-4.797846,0.700000,0.300000,1.004197,1.726699
2020-05-21,-4.354469,-5.239345,0.700000,0.300000,0.883486,1.553952,-4.665363,-5.566056,0.700000,0.300000,0.883486,1.553952,-4.806968,-5.817976,0.700000,0.300000,0.883486,1.553952,-3.657744,-4.302039,0.700000,0.300000,0.883486,1.553952
